Image,PSNR,SSIM,RMSE,SAM
76,28.276257310688514,0.7657504,0.03856445103883743,0.06487654149532318
77,29.168260110969385,0.78575057,0.03480062261223793,0.07163435965776443
78,27.873802533448103,0.7761765,0.04039335250854492,0.06730171293020248
79,25.810200289237024,0.78056055,0.0512259416282177,0.06697842478752136
80,20.372463931019915,0.79441637,0.09580248594284058,0.09758445620536804
81,22.511428314552017,0.77168757,0.07489082217216492,0.0777326226234436
82,27.971618351851752,0.800795,0.03994101285934448,0.05144514515995979
83,27.71648934584734,0.81933576,0.04113159328699112,0.0545252300798893
84,21.9783504344067,0.72332484,0.07963106036186218,0.14746367931365967
85,29.291556806871984,0.82662815,0.03431011363863945,0.05667201057076454
86,29.291128891956305,0.7868743,0.03431180492043495,0.059509873390197754
87,27.553123128719164,0.7433176,0.04191252589225769,0.07077758014202118
88,24.44239971961727,0.78348804,0.05996253713965416,0.05784749612212181
89,27.227208072416293,0.7671704,0.04351506009697914,0.05990477278828621
90,25.62747187164768,0.7925915,0.05231502279639244,0.05382102355360985
91,18.660416836600405,0.69102955,0.11667536199092865,0.24455398321151733
92,27.40674974052334,0.82799816,0.0426248162984848,0.0387168787419796
93,29.4869434394365,0.83856606,0.03354693576693535,0.03388196974992752
94,29.872370903457423,0.8342707,0.032090868800878525,0.043729931116104126
95,28.346300537842296,0.82995486,0.038254715502262115,0.04560784623026848
96,24.62038980829899,0.7987718,0.05874629691243172,0.05334897339344025
97,24.37029761401867,0.7810946,0.06046236306428909,0.05730919539928436
98,27.009360074123503,0.8081928,0.044620249420404434,0.05035293474793434
99,23.863615248865024,0.7772403,0.06409427523612976,0.05677133798599243
100,22.22777586781517,0.7720542,0.07737687230110168,0.07358469069004059
101,25.765936716989057,0.8152744,0.05148766189813614,0.047035545110702515
102,13.104026510744198,0.4279159,0.2212069034576416,0.5691632032394409
103,26.100051222297115,0.82080024,0.04954472556710243,0.043138451874256134
104,29.52392773170615,0.83149916,0.0334043949842453,0.04242934286594391
105,26.08338077478041,0.8187253,0.049639906734228134,0.04426709562540054
106,22.502824863143786,0.792382,0.07496503740549088,0.057140372693538666
107,22.07450741486063,0.7766678,0.07875435799360275,0.06344335526227951
108,23.813128877061985,0.7972181,0.0644679069519043,0.05222931504249573
109,26.86112791374999,0.7973563,0.04538826644420624,0.04834737628698349
110,24.734326502937822,0.77070904,0.0579807311296463,0.05517231673002243
111,23.0478142697384,0.76794976,0.07040593773126602,0.07693527638912201
112,25.396706942586317,0.8044036,0.053723543882369995,0.052868153899908066
113,21.609358424694594,0.79450107,0.08308680355548859,0.1270631104707718
114,16.28824518934825,0.51346827,0.15331608057022095,0.41067081689834595
115,26.614600233561596,0.8118691,0.046694960445165634,0.0426083467900753
116,28.875787778766018,0.8193295,0.03599238395690918,0.043846115469932556
117,26.99349859329644,0.8062284,0.04470180720090866,0.04158598184585571
118,23.93442002349991,0.7938552,0.06357391923666,0.04804426431655884
119,25.816354022947895,0.812819,0.051189668476581573,0.0373665876686573
120,29.601159006484615,0.8149144,0.03310869261622429,0.046037644147872925
121,28.084393259728667,0.80509335,0.03942578285932541,0.04897069185972214
122,21.600173306307163,0.7562237,0.08317471295595169,0.08020637184381485
123,22.501705793408853,0.7694567,0.07497469335794449,0.06912201642990112
124,22.304984030256385,0.76802117,0.0766921266913414,0.06962135434150696
125,21.470935988548213,0.78014904,0.08442152291536331,0.15188464522361755
126,27.16366609612482,0.8053542,0.043834563344717026,0.03778257593512535
127,26.242583211178257,0.79441506,0.048738352954387665,0.040413230657577515
128,26.168383772517995,0.7981407,0.04915648326277733,0.046933721750974655
129,24.845449224842525,0.809325,0.05724367871880531,0.05485393479466438
130,27.49621585472905,0.81281346,0.04218802601099014,0.04329808056354523
131,26.989455890782104,0.8096085,0.04472261667251587,0.054474085569381714
132,19.370610627912235,0.67486334,0.10751509666442871,0.2778782248497009
133,21.732947491837184,0.80811,0.08191296458244324,0.1776745468378067
134,21.32248118390453,0.7781904,0.08587681502103806,0.19185340404510498
135,16.452531612712697,0.49595383,0.15044349431991577,0.4249722957611084
136,23.767341991604148,0.8099556,0.06480863690376282,0.1268409937620163
137,19.572297882776095,0.68111056,0.10504735261201859,0.30422353744506836
138,19.415384775683542,0.61639714,0.10696230083703995,0.3574766516685486
139,20.915990820267982,0.73288816,0.08999128639698029,0.2641555666923523
140,20.163773789367852,0.7519212,0.09813214838504791,0.2189856767654419
141,19.309974298723677,0.71042794,0.10826829820871353,0.26546934247016907
142,21.99137177829676,0.78837126,0.07951176911592484,0.18851618468761444
143,21.10871773475257,0.74010897,0.08801650255918503,0.20501591265201569
144,23.467725219763764,0.815414,0.0670831948518753,0.13913781940937042
145,14.998797426544726,0.45109758,0.1778525561094284,0.45845019817352295
146,21.249173484883155,0.771482,0.08660466969013214,0.2365604043006897
147,23.490855514212413,0.7799265,0.06690479815006256,0.12331797927618027
148,16.984998773173064,0.526367,0.1414979100227356,0.46557143330574036
149,20.351122516489426,0.8016909,0.09603817015886307,0.202373206615448
150,16.490444823596995,0.5283602,0.1497882455587387,0.4290999472141266
151,20.625291467856684,0.7699811,0.09305407851934433,0.2116631120443344
152,17.17931682740519,0.54056853,0.13836753368377686,0.39718398451805115
153,18.263092149199306,0.591219,0.12213648110628128,0.33542102575302124
154,17.60301612792311,0.57303065,0.13177989423274994,0.3461388945579529
155,15.564087891542751,0.4722344,0.16664627194404602,0.46887853741645813
156,20.71663460276753,0.8055508,0.09208062291145325,0.20507897436618805
157,19.8116131211116,0.6562907,0.10219257324934006,0.3092244267463684
158,21.163648900778664,0.77655506,0.08746162801980972,0.13752831518650055
159,20.270448275035342,0.8004542,0.09693432599306107,0.1688881367444992
160,20.55170456377472,0.7595072,0.09384579211473465,0.22334884107112885
161,16.156533840477458,0.5408972,0.15565867722034454,0.38178110122680664
162,20.7106902741019,0.78832054,0.09214366972446442,0.17743703722953796
163,20.60551939147544,0.773711,0.09326614439487457,0.1918804794549942
164,21.719285346952525,0.82977104,0.0820419043302536,0.1469903141260147
165,19.004825507359186,0.6587804,0.11213952302932739,0.2876339852809906
166,13.395297994921716,0.26209858,0.2139119803905487,0.6542060375213623
167,18.77679105999315,0.67233294,0.11512256413698196,0.27986663579940796
168,21.763812621831974,0.82522553,0.0816223993897438,0.1848033219575882
169,21.275254189533804,0.78522056,0.08634501695632935,0.1398347020149231
170,19.769853078905296,0.72674567,0.10268507897853851,0.26979175209999084
171,16.88512796723893,0.61268073,0.14313426613807678,0.3500402569770813
172,15.569335214593433,0.55447906,0.16654562950134277,0.4170686900615692
173,21.72884096188927,0.7885805,0.08195170015096664,0.1826830804347992
174,15.468060729263044,0.53357124,0.16849885880947113,0.38951724767684937
175,18.660321733815415,0.69948226,0.11667664349079132,0.2437906563282013
176,21.49739098728249,0.7682691,0.08416479080915451,0.17900565266609192
177,15.372032411210148,0.5206858,0.17037206888198853,0.3930318355560303
178,17.96367465267206,0.5662127,0.12642014026641846,0.367717981338501
179,12.907596067999167,0.29545197,0.22626647353172302,0.6198280453681946
180,21.599990091798734,0.75215715,0.08317647129297256,0.14805328845977783
181,16.27001187295578,0.54083925,0.15363827347755432,0.3761027455329895
182,18.16366510064946,0.65559757,0.12354260683059692,0.27485746145248413
183,18.489258040700918,0.67733985,0.11899729818105698,0.2512240409851074
184,18.601685284324127,0.746617,0.11746696382761002,0.20424136519432068
185,24.272578107469048,0.8738454,0.06114642694592476,0.12373563647270203
186,21.297485794139,0.7876156,0.08612429350614548,0.19642795622348785
187,21.24098805983681,0.75122374,0.08668632805347443,0.233138307929039
188,22.458685833454346,0.7826559,0.07534695416688919,0.20095223188400269
189,18.512546766571816,0.6404497,0.11867866665124893,0.29428595304489136
190,13.259516663446462,0.4568574,0.21728220582008362,0.5021459460258484
191,17.149209402355048,0.62726206,0.1388479769229889,0.2964348793029785
192,36.310595918112824,0.9760699,0.015292207710444927,0.030283819884061813
193,21.11432894489291,0.8933731,0.0879596546292305,0.05741971731185913
194,15.653982876576096,0.66178924,0.16493044793605804,0.2691792845726013
195,21.04890742852917,0.87825066,0.08862467110157013,0.07166002690792084
196,37.55058608521811,0.9646953,0.013257776387035847,0.02941552735865116
197,38.17966452323686,0.9672437,0.01233152486383915,0.02937500551342964
198,37.55387624262457,0.9727699,0.013252755627036095,0.03322599083185196
199,37.08877281603824,0.9725785,0.013981743715703487,0.0312613770365715
200,34.62980942920849,0.96830314,0.018557075411081314,0.039203643798828125
201,36.64145756118545,0.9759536,0.014720655046403408,0.02201424166560173
202,15.72216351408165,0.58028275,0.16364088654518127,0.39430704712867737
203,36.96069422126624,0.9697656,0.014189440757036209,0.036360591650009155
204,37.47362347200282,0.95850533,0.01337577123194933,0.029598195105791092
205,37.19602741285379,0.9619465,0.01381015870720148,0.031147154048085213
206,37.98381819600715,0.9636386,0.012612729333341122,0.02753310278058052
207,37.35481209468286,0.9658993,0.01355999056249857,0.031934354454278946
208,38.12432471247734,0.9763434,0.012410342693328857,0.03281912952661514
209,37.9769075818821,0.9757212,0.012622768990695477,0.032886527478694916
210,36.39942356602553,0.97025603,0.015136617235839367,0.03675364702939987
211,37.15301051422155,0.9713804,0.013878721743822098,0.02620498090982437
212,38.10421980612931,0.97218823,0.012439101003110409,0.027940157800912857
213,20.464881979237536,0.70285386,0.094788558781147,0.24039308726787567
214,40.07437866540299,0.97603124,0.009914734400808811,0.021183228120207787
215,37.568334881403395,0.97226983,0.01323071401566267,0.030486229807138443
216,36.27668303853012,0.96526724,0.015352031216025352,0.03760981559753418
217,36.222483958601345,0.96071607,0.015448126010596752,0.03682008758187294
